song_id,genre_id,artist_id,song_title,bpm,energy,danceability,loudness,liveness,valence,length_ms,accousticness,speechiness,popularity,collaboration
1,1,1,senorita,117,55,76,-6,8,75,191,4,3,79,no
2,2,2,china,105,81,79,-4,8,61,302,8,9,92,no
3,1,3,boyfriend with social house,190,80,40,-4,16,70,186,12,46,85,yes
4,1,4,beautiful people feat khalid,93,65,64,-8,8,55,198,12,19,86,yes
5,3,5,goodbyes feat young thug,150,65,58,-4,11,18,175,45,7,94,yes
6,1,6,i do not care with justin bieber,102,68,80,-5,9,84,220,9,4,84,yes
7,3,7,ransom,180,64,75,-6,7,23,131,2,29,92,no
8,1,8,how do you sleep,111,68,48,-5,8,35,202,15,9,90,no
9,3,9,old town road remix,136,62,88,-6,11,64,157,5,10,87,yes
10,1,10,bad guy,135,43,70,-11,10,56,194,33,38,95,no
11,2,11,callaita,176,62,61,-5,24,24,251,60,31,93,no
12,1,12,loco contigo feat j balvin and tyga,96,71,82,-4,15,38,185,28,7,86,yes
13,1,13,someone you loved,110,41,50,-6,11,45,182,75,3,88,no
14,1,14,otro trago remix,176,79,73,-2,6,76,288,7,20,87,yes
15,5,15,money in the grave drake ft rick ross,101,50,83,-4,12,10,205,10,5,92,yes
16,1,16,no guidance feat drake,93,45,70,-7,16,14,261,12,15,82,yes
17,2,17,la cancion,176,65,75,-6,11,43,243,15,32,90,no
18,3,18,sunflower,90,48,76,-6,7,91,158,56,5,91,no
19,5,19,lalala,130,39,84,-8,14,50,161,18,8,88,no
20,4,20,truth hurts,158,62,72,-3,12,41,173,11,11,91,no
21,1,21,piece of your heart,124,74,68,-7,7,63,153,4,3,91,no
22,3,22,panini,154,59,70,-6,12,48,115,34,8,91,no
23,2,23,no me conoce remix,92,79,81,-4,9,58,309,14,7,83,yes
24,2,24,soltera remix,92,78,80,-4,44,80,266,36,4,91,yes
25,1,25,bad guy with justin bieber,135,45,67,-11,12,68,195,25,30,89,yes
26,1,26,if i can not have you,124,82,69,-4,13,87,191,49,6,70,no
27,1,27,dance monkey,98,59,82,-6,18,54,210,69,10,83,no
28,5,28,it is you,96,46,73,-7,19,40,213,37,3,89,no
29,2,29,con calma,94,86,74,-3,6,66,193,11,6,91,no
30,2,30,que pretendes,93,79,64,-4,36,94,222,3,25,89,no
31,4,31,takeaway,85,51,29,-8,10,36,210,12,4,84,no
32,1,32,7 rings,140,32,78,-11,9,33,179,59,33,89,no
33,2,33,HP,96,71,78,-5,9,68,176,22,28,89,no
34,5,34,the london feat j cole and travis scott,98,59,80,-7,13,18,200,2,15,89,yes
35,1,35,never really over,100,88,77,-5,32,39,224,19,6,89,no
36,4,36,summer days feat macklemore and patrick stump of fall out boy,114,72,66,-7,14,32,164,18,6,89,yes
37,1,37,otro trago,176,70,75,-5,11,62,226,14,34,91,no
38,1,38,antisocial with travis scott,152,82,72,-5,36,91,162,13,5,87,yes
39,1,39,sucker,138,73,84,-5,11,95,181,4,6,80,no
40,1,40,fuck i am lonely with anne marie from 13 reasons why season 3,95,56,81,-6,6,68,199,48,7,78,yes
41,4,41,higher love,104,68,69,-7,10,40,228,2,3,88,no
42,1,42,you need to calm down,85,68,77,-6,7,73,171,1,5,90,no
43,1,43,shallow,96,39,57,-6,23,32,216,37,3,87,no
44,1,44,talk,136,40,90,-9,6,35,198,5,13,84,no
45,2,45,con altura,98,69,88,-4,5,75,162,39,12,88,no
46,4,46,one thing right,88,62,66,-2,58,44,182,7,5,88,no
47,2,47,te robare,176,75,67,-4,8,80,202,24,6,88,no
48,4,48,happier,100,79,69,-3,17,67,214,19,5,88,no
49,4,49,call you mine,104,70,59,-6,41,50,218,23,3,88,no
50,1,50,cross me feat chance the rapper and pnb rock,95,79,75,-6,7,61,206,21,12,82,yes
